nombre_ejercicio,otros_nombres,tipo_ejercicio,grupo_muscular_principal,grupo_muscular_secundario,localizacion,url_video,descripcion,imagen,equipamiento,nivel,patron_movimiento,series_recomendadas
Gato-camello,"Cat-cow, Gato-vaca",Movilidad,Lumbares,"Espalda, Core",Ambos,https://player.mediadelivery.net/play/713982/cb1b8b06-4762-41c5-a900-3d56d83f1ad4,"1. Colócate en cuadrupedia con la columna neutra.
2. Arquea la espalda hacia arriba llevando la barbilla al pecho (postura de gato).
3. Invierte el movimiento hundiendo el abdomen y levantando la mirada (postura de vaca).
4. Alterna entre ambas posiciones de forma lenta, siguiendo la respiración.

⚠️ Errores comunes
* Mover solo la zona lumbar sin implicar toda la columna.
* Ir demasiado rápido.
* Forzar el rango con dolor.
* Aguantar la respiración.",gato-camello.png,Peso corporal,Principiante,Movilidad / control motor,2 series de 10 repeticiones
Estiramiento de isquiotibiales,"Hamstring stretch, Estiramiento de femorales",Movilidad,Femorales / isquiosurales,Lumbares,Ambos,https://player.mediadelivery.net/play/713982/cf02e120-4c9b-4b82-82ed-ca11ac50db85,"1. Extiende una pierna al frente con el talón apoyado y la punta hacia arriba.
2. Mantén la espalda recta.
3. Inclina el torso hacia delante desde la cadera, no desde la espalda.
4. Mantén el estiramiento 20-30 segundos sin rebotar. Repite con la otra pierna.

⚠️ Errores comunes
* Redondear la espalda en vez de doblarse por la cadera.
* Rebotar para forzar el estiramiento.
* Bloquear la rodilla con fuerza excesiva.
* Forzar hasta sentir dolor agudo.",estiramiento-de-isquiotibiales.png,Peso corporal,Principiante,Movilidad / control motor,30 seg de trabajo por lado
Curl concentrado,"Concentration curl, Curl concentrado sentado",Aislamiento,Bíceps,,Casa,https://player.mediadelivery.net/play/713982/6cba27a9-897b-405d-a8aa-da8af38eb81b,"1. Siéntate en el borde del banco con las piernas separadas.
2. Apoya el codo del brazo de trabajo contra la cara interna del muslo.
3. Flexiona el codo elevando la mancuerna hacia el hombro.
4. Baja controlado hasta extender el brazo. Repite y cambia de lado.

⚠️ Errores comunes
* Despegar el codo del muslo.
* Usar impulso del torso.
* No extender del todo abajo.
* Girar la muñeca en exceso.",curl-concentrado.png,"Mancuernas, Banco",Principiante,Flexión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Movilidad de tobillo (dorsiflexión en pared),"Ankle mobility, Dorsiflexión de tobillo, Knee-to-wall",Movilidad,Gemelos,Tibial anterior,Ambos,https://player.mediadelivery.net/play/713982/d6bd0e9e-23f2-4acc-8259-a29e2fe0ad9d,"1. Colócate frente a la pared con un pie a poca distancia.
2. Lleva la rodilla hacia delante hacia la pared sin despegar el talón.
3. Mantén el estiramiento un momento.
4. Vuelve y repite, alejando progresivamente el pie de la pared según mejore el rango.

⚠️ Errores comunes
* Despegar el talón del suelo (invalida el ejercicio).
* Rotar el pie hacia fuera para compensar.
* Forzar con dolor agudo.",movilidad-de-tobillo-dorsiflexion-en-pared.png,Peso corporal,Principiante,Dorsiflexión,2-3 series de 8-10 repeticiones por lado
Jalón al pecho con agarre neutro,"Neutral-grip pulldown, Jalón agarre neutro",Compuesto,Espalda,Bíceps,Gimnasio,https://player.mediadelivery.net/play/713982/e46cbb68-0dbd-4614-b088-ffde7ee3caa9,"1. Fija los muslos y sujeta el agarre neutro con las palmas enfrentadas.
2. Saca pecho y tira hacia la parte alta del pecho llevando los codos abajo y pegados al cuerpo.
3. Aprieta las escápulas al final.
4. Sube controlado. Repite.

⚠️ Errores comunes
* Tirar hacia atrás con el torso en vez de con los brazos.
* Encoger los hombros.
* Recorrido corto.",jalon-al-pecho-con-agarre-neutro.png,"Polea, Cable, Máquina",Principiante,Tirón vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Press de banca con agarre cerrado,"Close-grip bench press, Press cerrado",Compuesto,Tríceps,"Pecho, Hombros",Ambos,https://player.mediadelivery.net/play/713982/a3dfd5fe-5082-43ac-89ed-208665b56a3b,"1. Túmbate en el banco y sujeta la barra con agarre estrecho, a la anchura de los hombros.
2. Saca la barra del rack con los brazos extendidos.
3. Baja controlada manteniendo los codos pegados al torso.
4. Empuja hacia arriba hasta extender los brazos. Repite.

⚠️ Errores comunes
* Agarre demasiado estrecho (fuerza la muñeca).
* Abrir los codos como en el press estándar.
* Rebotar la barra en el pecho.
* Muñecas flexionadas hacia atrás.",press-de-banca-con-agarre-cerrado.png,"Barra, Banco, Disco",Intermedio,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Jalón al pecho con agarre supino,"Underhand pulldown, Jalón agarre supino, Chin-up pulldown",Compuesto,Espalda,Bíceps,Gimnasio,https://player.mediadelivery.net/play/713982/cef1b0ef-fe1a-46e6-a3b1-cfbc9d430336,"1. Fija los muslos y sujeta la barra con agarre supino a la anchura de los hombros.
2. Tira hacia la parte alta del pecho llevando los codos abajo.
3. Aprieta las escápulas al final.
4. Sube controlado. Repite.

⚠️ Errores comunes
* Tirar con demasiado impulso del torso.
* Dejar que el bíceps haga todo el trabajo sin activar la espalda.
* Recorrido corto.",,"Polea, Cable, Máquina",Principiante,Tirón vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Curl femoral sentado,"Seated leg curl, Curl femoral en máquina sentado",Aislamiento,Femorales / isquiosurales,Gemelos,Gimnasio,https://player.mediadelivery.net/play/713982/16aabf33-fd56-4f04-8112-c1def7e85ce8,"1. Siéntate y ajusta el respaldo y el rodillo sobre las espinillas.
2. Sujeta los agarres laterales si los hay.
3. Flexiona las rodillas llevando el rodillo hacia abajo.
4. Extiende controlado de vuelta. Repite.

⚠️ Errores comunes
* Usar impulso con la cadera.
* Recorrido corto.
* Despegar la espalda del respaldo.
* Bajar el peso sin control.",curl-femoral-sentado.png,Máquina,Principiante,Flexión de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Jalón al pecho con agarre cerrado,"Close-grip pulldown, Jalón agarre cerrado (V-bar)",Compuesto,Espalda,Bíceps,Gimnasio,https://player.mediadelivery.net/play/713982/32ddfde4-3c0b-4a4e-8a53-8bb534e7e035,"1. Fija los muslos y sujeta el agarre en V con las manos juntas.
2. Tira hacia la parte alta del pecho llevando los codos abajo y pegados al cuerpo.
3. Aprieta las escápulas al final del recorrido.
4. Sube controlado. Repite.

⚠️ Errores comunes
* Tirar con impulso del torso.
* Encoger los hombros.
* Recorrido corto sin extender arriba.",jalon-al-pecho-con-agarre-cerrado.png,"Polea, Cable, Máquina",Principiante,Tirón vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Curl de bíceps con barra Z,"EZ bar curl, Curl con barra Z",Aislamiento,Bíceps,Antebrazos,Ambos,https://player.mediadelivery.net/play/713982/9a8b3fe1-3c43-44c7-9879-4ab41ef631ae,"1. De pie, sujeta la barra Z por los ángulos que prefieras.
2. Mantén los codos pegados al torso.
3. Flexiona los codos subiendo la barra hacia los hombros.
4. Baja controlado hasta extender los brazos. Repite.

⚠️ Errores comunes
* Balancear el torso para subir el peso.
* Adelantar los codos al subir.
* No extender del todo abajo.
* Agarre demasiado ancho o estrecho que fuerza la muñeca.",curl-de-biceps-con-barra-z.jpg,Barra,Principiante,Flexión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Elevación de gemelos sentado,"Seated calf raise, Gemelo sentado",Aislamiento,Gemelos,,Gimnasio,https://player.mediadelivery.net/play/713982/078c3bfd-3b89-4cd6-9652-0517ba51c19b,"1. Siéntate con las rodillas bajo el soporte acolchado y las puntas de los pies en la plataforma.
2. Sube de puntillas elevando los talones al máximo.
3. Aprieta arriba un instante.
4. Baja los talones por debajo de la plataforma para estirar. Repite.

⚠️ Errores comunes
* Recorrido corto sin estirar ni contraer del todo.
* Rebotar con impulso.
* Colocar mal las rodillas bajo el soporte.",elevacion-de-gemelos-sentado.jpg,Máquina,Principiante,Flexión plantar,"3 series de 10 repeticiones, 60 seg de descanso"
Curl inverso (agarre prono),"Reverse curl, Curl con agarre prono",Aislamiento,Antebrazos,Bíceps,Ambos,https://player.mediadelivery.net/play/713982/696707a0-0e4d-4fd5-abfa-75d5851f13f2,"1. De pie, sujeta la barra con agarre prono a la anchura de los hombros.
2. Mantén los codos pegados al torso.
3. Flexiona los codos subiendo la barra sin girar las muñecas.
4. Baja controlado hasta extender los brazos. Repite.

⚠️ Errores comunes
* Girar las muñecas hacia supino durante la subida.
* Balancear el torso.
* Usar demasiado peso (el agarre prono permite mucha menos carga que el supino).",curl-inverso-agarre-prono.png,Barra,Intermedio,Flexión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Curl de bíceps en polea,"Cable curl, Curl en polea baja",Aislamiento,Bíceps,Antebrazos,Gimnasio,https://player.mediadelivery.net/play/713982/cdd65882-168f-4bed-a417-421561d190aa,"1. De pie frente a la polea baja, sujeta el agarre con las palmas hacia arriba.
2. Mantén los codos pegados al torso.
3. Flexiona los codos subiendo el agarre hacia los hombros.
4. Baja controlado hasta extender los brazos. Repite.

⚠️ Errores comunes
* Alejarse demasiado o poco de la polea.
* Balancear el torso.
* Adelantar los codos.
* Soltar el peso de golpe al bajar.",curl-de-biceps-en-polea.png,"Polea, Cable",Principiante,Flexión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con jumping jack (squat jacks),"Squat jacks, Sentadilla con salto de tijera",Cardio,Cuerpo completo,"Cuádriceps, Glúteos",Ambos,https://player.mediadelivery.net/play/713982/e83ed88b-d456-4777-badc-94e8e87eab49,"1. Parte de pie con los pies juntos.
2. Salta abriendo las piernas mientras bajas en sentadilla y subes los brazos.
3. Salta de vuelta juntando los pies y bajando los brazos.
4. Repite de forma continua y rítmica.

⚠️ Errores comunes
* No bajar lo suficiente en la sentadilla.
* Aterrizar rígido.
* Perder el ritmo entre el salto y la sentadilla.
* Rodillas hacia dentro al aterrizar.",sentadilla-con-jumping-jack-squat-jacks.jpg,Peso corporal,Intermedio,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Flexiones con rodillas apoyadas,"Knee push-up, Flexiones de rodillas",Compuesto,Pecho,"Tríceps, Hombros",Ambos,https://player.mediadelivery.net/play/713982/47e4d7b8-2cc8-43db-96c4-919e64b0b574,"1. Apóyate sobre las rodillas y las manos, algo más anchas que los hombros.
2. Mantén el cuerpo en línea recta desde la cabeza a las rodillas.
3. Baja el pecho hacia el suelo flexionando los codos a 45°.
4. Empuja de vuelta arriba. Repite.

⚠️ Errores comunes
* Doblar la cadera en vez de mantener la línea recta (cadera hacia arriba).
* Abrir los codos a 90°.
* Bajar poco recorrido.
* Apoyar las rodillas demasiado adelantadas o atrasadas.",flexiones-con-rodillas-apoyadas.png,Peso corporal,Principiante,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Fondos de tríceps asistidos en máquina,"Assisted dip machine, Fondos asistidos",Aislamiento,Tríceps,"Pecho, Hombros",Gimnasio,https://player.mediadelivery.net/play/713982/42c7bb56-6105-4ea8-910d-c9a988b210d5,"1. Ajusta el contrapeso de la máquina según el nivel.
2. Sube a la plataforma y sujeta los agarres con los brazos extendidos.
3. Baja flexionando los codos hasta ~90°.
4. Empuja de vuelta arriba. Repite.

⚠️ Errores comunes
* Elegir un contrapeso que asiste demasiado (pierde estímulo).
* Bajar demasiado forzando el hombro.
* Encoger los hombros.
* Usar impulso.",fondos-de-triceps-asistidos-en-maquina.png,Máquina,Principiante,Extensión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Correr al aire libre (trote),"Outdoor running, Trote al aire libre, Jogging",Cardio,Cuerpo completo,"Cuádriceps, Gemelos",Exterior,https://player.mediadelivery.net/play/713982/eac9df62-7937-4913-a1fd-47cac71f2179,"1. Empieza caminando y aumenta el ritmo de forma progresiva.
2. Mantén una zancada natural, sin forzar el paso.
3. Adapta el ritmo al terreno (asfalto, tierra, cuesta).
4. Reduce el ritmo de forma progresiva al terminar.

⚠️ Errores comunes
* Empezar demasiado rápido sin calentar.
* Zancada excesivamente larga.
* Ignorar el terreno irregular.
* No hidratarse en sesiones largas.",correr-al-aire-libre-trote.png,Peso corporal,Principiante,Metabólico / cuerpo completo,Continuo: 20-30 min a ritmo constante
Saltos laterales (skater jumps),"Skater jumps, Saltos de patinador",Cardio,Cuerpo completo,"Cuádriceps, Glúteos",Ambos,https://player.mediadelivery.net/play/713982/c1ab0d46-0677-4d60-967e-7d4da3df0d9e,"1. Parte de pie sobre una pierna con ligera flexión de rodilla.
2. Salta lateralmente hacia el otro lado.
3. Aterriza suave sobre la pierna contraria, con la otra pierna cruzando detrás para el equilibrio.
4. Repite alternando de lado de forma continua.

⚠️ Errores comunes
* Aterrizar con la rodilla rígida.
* Saltar muy poca distancia (pierde el estímulo).
* Perder el equilibrio al aterrizar.
* Mirar hacia abajo en vez de al frente.",saltos-laterales-skater-jumps.png,Peso corporal,Intermedio,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Zancada con apoyo (asistida),"Assisted lunge, Zancada asistida",Compuesto,Cuádriceps,Glúteos,Ambos,https://player.mediadelivery.net/play/713982/aee9f118-f660-4ba2-8e6e-498ebb589fa4,"1. Colócate junto a un punto de apoyo estable.
2. Da un paso al frente manteniendo el contacto ligero con el apoyo.
3. Baja la rodilla trasera casi al suelo.
4. Empuja con la pierna delantera para volver, usando el apoyo solo como referencia de equilibrio. Repite y cambia de lado.

⚠️ Errores comunes
* Apoyarse con fuerza en vez de solo rozar el punto de apoyo.
* Pasos demasiado cortos.
* Rodilla delantera colapsando hacia dentro.",zancada-con-apoyo-asistida.png,Peso corporal,Principiante,Zancada / unilateral,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con apoyo (asistida),"Assisted squat, Sentadilla asistida con apoyo",Compuesto,Cuádriceps,Glúteos,Ambos,https://player.mediadelivery.net/play/713982/8d914e6d-322e-4502-866c-ba72b88bb187,"1. Sujeta un punto de apoyo estable con ambas manos.
2. Pies a la anchura de los hombros.
3. Baja en sentadilla usando el apoyo solo para el equilibrio.
4. Sube empujando con las piernas, no tirando de los brazos. Repite.

⚠️ Errores comunes
* Tirar del apoyo para subir (hace todo el trabajo el brazo).
* Usar un punto de apoyo inestable.
* No bajar lo suficiente por miedo a perder el equilibrio.",sentadilla-con-apoyo-asistida.png,"Peso corporal, TRX, Rack",Principiante,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Plancha con rodillas apoyadas,"Knee plank, Plancha de rodillas",Aislamiento,Core,"Glúteos, Hombros",Ambos,https://player.mediadelivery.net/play/713982/f0d2d413-97d9-4252-9573-bac7c6154ba4,"1. Apoya los antebrazos y las rodillas en el suelo, codos bajo los hombros.
2. Forma una línea recta desde la cabeza hasta las rodillas.
3. Aprieta el abdomen y mantén la posición.
4. Sostén el tiempo objetivo respirando con normalidad.

⚠️ Errores comunes
* Hundir la cadera.
* Subir demasiado el glúteo.
* Apoyar mal las rodillas (muy adelantadas).
* Aguantar la respiración.",plancha-con-rodillas-apoyadas.png,Peso corporal,Principiante,Anti-extensión,"3 series de 30 seg de trabajo, 60 seg de descanso"
Trote en el sitio,"Jogging in place, Carrera en el sitio",Cardio,Cuerpo completo,"Cuádriceps, Gemelos",Ambos,https://player.mediadelivery.net/play/713982/ded0af34-1a67-4d9f-91f2-85775bc709e4,"1. De pie, erguido, con los brazos relajados.
2. Empieza a trotar en el sitio con pasos cortos.
3. Eleva las rodillas a una altura moderada y cómoda.
4. Mantén el ritmo el tiempo objetivo.

⚠️ Errores comunes
* Aterrizar con fuerza sobre los talones.
* Rodillas que apenas se elevan (poco estímulo).
* Rigidez en los brazos.
* Ritmo demasiado lento para generar beneficio cardiovascular.",trote-en-el-sitio.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
